2020-04-03,3548,6735.9
2020-04-04,3549,6857.4
2020-04-05,3550,6772.7
2020-04-06,3551,7332.3
2020-04-07,3552,7185.2
2020-04-08,3553,7361.2
2020-04-09,3554,7289
2020-04-10,3555,6863.1
2020-04-11,3556,6867.8
2020-04-12,3557,6917.6
2020-04-13,3558,6841.3
2020-04-14,3559,6850.9
2020-04-15,3560,6629.1
2020-04-16,3561,7085.6
2020-04-17,3562,7035.8
2020-04-18,3563,7230.8
2020-04-19,3564,7122.9
2020-04-20,3565,6833.5
2020-04-21,3566,6842.5
2020-04-22,3567,7112.9
2020-04-23,3568,7488.5
2020-04-24,3569,7503.8
2020-04-25,3570,7540.4
2020-04-26,3571,7678.9
2020-04-27,3572,7766
2020-04-28,3573,7746.9
2020-04-29,3574,8770.9
2020-04-30,3575,8629
2020-05-01,3576,8821.6
2020-05-02,3577,8966.3
2020-05-03,3578,8885.5
2020-05-04,3579,8874.7
2020-05-05,3580,9001
2020-05-06,3581,9151.4
2020-05-07,3582,9979.8
2020-05-08,3583,9806.2
2020-05-09,3584,9554.6
2020-05-10,3585,8738.8
2020-05-11,3586,8579.8
2020-05-12,3587,8813.8
2020-05-13,3588,9298.7
2020-05-14,3589,9778.4
2020-05-15,3590,9318
2020-05-16,3591,9379.5
2020-05-17,3592,9677.7
2020-05-18,3593,9730.7
2020-05-19,3594,9773.3
2020-05-20,3595,9512.3
2020-05-21,3596,9059
2020-05-22,3597,9169.7
2020-05-23,3598,9177
2020-05-24,3599,8728.2
2020-05-25,3600,8898.2
2020-05-26,3601,8842.5
2020-05-27,3602,9199.1
2020-05-28,3603,9572.2
2020-05-29,3604,9424.8
2020-05-30,3605,9692.5
2020-05-31,3606,9454.8
2020-06-01,3607,10189.3
2020-06-02,3608,9527.6
2020-06-03,3609,9667.2
2020-06-04,3610,9794.4
2020-06-05,3611,9631.2
2020-06-06,3612,9669.6
2020-06-07,3613,9742.6
2020-06-08,3614,9777.9
2020-06-09,3615,9768.8
2020-06-10,3616,9878.8
2020-06-11,3617,9283.2
2020-06-12,3618,9466.6
2020-06-13,3619,9471.3
2020-06-14,3620,9345.3
2020-06-15,3621,9425.4
2020-06-16,3622,9523.5
2020-06-17,3623,9464.6
2020-06-18,3624,9388.1
2020-06-19,3625,9314
2020-06-20,3626,9358.8
2020-06-21,3627,9296.4
2020-06-22,3628,9683.7
2020-06-23,3629,9624.6
2020-06-24,3630,9302
2020-06-25,3631,9247.5
2020-06-26,3632,9160
2020-06-27,3633,9008.3
2020-06-28,3634,9124
2020-06-29,3635,9185.4
2020-06-30,3636,9135.4
2020-07-01,3637,9229.9
2020-07-02,3638,9085.1
2020-07-03,3639,9067.1
2020-07-04,3640,9134.4
2020-07-05,3641,9081
2020-07-06,3642,9339
2020-07-07,3643,9256
2020-07-08,3644,9429.9
2020-07-09,3645,9235.7
2020-07-10,3646,9285.1
2020-07-11,3647,9233.3
2020-07-12,3648,9300.8
2020-07-13,3649,9243.6
2020-07-14,3650,9253.4
2020-07-15,3651,9198.7
2020-07-16,3652,9135.3
2020-07-17,3653,9155.8
2020-07-18,3654,9170.2
2020-07-19,3655,9208
2020-07-20,3656,9162.4
2020-07-21,3657,9387.3
2020-07-22,3658,9513.7
2020-07-23,3659,9599.6
2020-07-24,3660,9546.4
2020-07-25,3661,9704.1
2020-07-26,3662,9932.5
